X,Y,Z,formation
1104052,1244775,1131.35022,F.LosSantos
1104516,1243718,1191.64429,F.LosSantos
1104292,1244315,1147.0614,F.LosSantos
1104767,1242918,1146.56287,F.LosSantos
1105465,1241928,1168.86108,F.LosSantos
1105946,1241345,1204.9884,F.LosSantos
1106109,1240969,1218.14172,F.LosSantos
1106292,1240698,1228.71191,F.LosSantos
1106353,1240373,1246.37903,F.LosSantos

1100915.403,1248825.642,365.15631,F.Potreros
1102004.974,1248493.354,938.98596,F.Potreros
1102805.941,1248336.615,1001.5451,F.Potreros
1103090.846,1248305.158,1012.36493,F.Potreros
1103408.722,1248234.104,1018.53473,F.Potreros
1103630.69,1248234.104,1023.17792,F.Potreros
1103904.653,1248135.877,1019.32977,F.Potreros
1104127.029,1248051.562,1025.12158,F.Potreros
1104396.805,1247984.687,1047.6698,F.Potreros
1105089.029,1247955.429,1082.83313,F.Potreros
1105467.79,1247995.179,1113.80127,F.Potreros
1105828.896,1247977.939,1133.83044,F.Potreros
1105987.586,1247918.922,1136.20361,F.Potreros
1107432.144,1247281.519,1356.12415,F.Potreros
1108144.484,1247003.601,1541.25818,F.Potreros
1108687.592,1246778.632,1604.69507,F.Potreros
1109039.324,1246710.875,1625.23083,F.Potreros
1109329.608,1246647.354,1628.65918,F.Potreros
1110412.981,1246295.47,1643.38513,F.Potreros
1110746.18,1246136.272,1640.9281,F.Potreros
1111354.293,1245935.12,1633.32104,F.Potreros
1111890.365,1245759.376,1631.85022,F.Potreros
1112285.125,1245669.917,1632.27539,F.Potreros
1113581.652,1244898.119,1700.95801,F.Potreros
1113679.438,1244834.388,1708.89587,F.Potreros
1114107.582,1244489.418,1410.44006,F.Potreros
1114677.467,1244309.342,1236.59509,F.Potreros
1115239.9,1244141.686,1012.7923,F.Potreros

1108399.092,1250216.557,1242.0177,F.Aljibe

1108014.109,1250811.408,1124.16858,F.Aljibe

1107371.933,1251221.909,1032.82959,F.Aljibe

1106244.564,1251641.463,787.74384,F.Aljibe
                    

1108729.878,1249811.271,1321.20837,F.Aljibe
1108939,1249682.086,1379.99341,F.Aljibe
1109390.191,1249573.166,1558.52588,F.Aljibe
1110545.274,1249508.517,1662.05872,F.Aljibe
1111319.124,1249462.321,1667.79565,F.Aljibe
1112680.837,1248922.255,1694.0105,F.Aljibe
1113814.888,1248418.507,1690.84497,F.Aljibe
1114967.876,1247899.211,1747.11768,F.Aljibe
1115350.215,1247755.504,1774.97583,F.Aljibe
1115722.845,1247689.183,1744.48083,F.Aljibe
1116005.303,1247559.961,1531.01721,F.Aljibe
1117312.859,1246934.711,1157.52332,F.Aljibe



1109136.363,1254216.772,983.18555,F.Honda
1109031.509,1254421.286,993.36646,F.Honda
1108937.965,1254569.28,932.29303,F.Honda
1108730.677,1254832.196,869.55853,F.Honda
1108347.897,1255098.569,830.52429,F.Honda
1108198.695,1255168.213,810.61865,F.Honda
1108065.881,1255294.747,800.44135,F.Honda
1107968.567,1255455.294,740.42206,F.Honda
1107718.383,1255730.624,698.7702,F.Honda
1109188.218,1254118.701,1063.15027,F.Honda
1109572.195,1253793.42,1147.3634,F.Honda
1110065.327,1253549.945,1307.55212,F.Honda
1110264.141,1253405.81,1466.75818,F.Honda
1111157.303,1253050.965,1602.21631,F.Honda
1111978.374,1252631.675,1614.45422,F.Honda
1112997.483,1252068.654,1616.83545,F.Honda
1113830.268,1251339.06,1633.18359,F.Honda
1114111.071,1250938.005,1635.49719,F.Honda
1114723.148,1250152.478,1640.62598,F.Honda
1115338.348,1249600.28,1636.5,F.Honda
1115975.625,1249136.573,1624.78589,F.Honda
1117273.667,1248477.801,1035.54614,F.Honda

1109658.614,1256992.824,1018.55231,F.Lejia
1110193.42,1256535.821,1396.10376,F.Lejia
1110794.45,1256550.529,1460.01929,F.Lejia
1111740.894,1256377.433,1571.23047,F.Lejia
1112544.263,1256098.33,1585.38672,F.Lejia
1113772.146,1255426.71,1665.8623,F.Lejia
1114971.823,1254613.843,1689.53137,F.Lejia
1115609.393,1254183.156,1683.05359,F.Lejia
1116522.927,1253687.143,1702.82141,F.Lejia
1117207.559,1253068.774,1649.15588,F.Lejia
1117694.752,1252867.507,1472.84863,F.Lejia
1118551.466,1252657.398,1152.79688,F.Lejia

1113333,1258786,1492.16479,Falla_SJ
1113004,1258684,1617.43579,Falla_SJ
1112640,1258569,1609.02771,Falla_SJ
1112051,1258419,1582.8988,Falla_SJ
1111367,1258250,1406.44861,Falla_SJ
1111126,1258145,1397.57129,Falla_SJ
1110707,1258147,1356.20813,Falla_SJ
1109163,1257159,888.31055,Falla_SJ
1108707,1256995,803.71204,Falla_SJ
1108101,1256853,748.49603,Falla_SJ
1107340,1256047,654.02716,Falla_SJ
1106976,1255920,636.26324,Falla_SJ
1106097,1255493,572.07758,Falla_SJ
1105479,1255179,554.58698,Falla_SJ

1104738,1254883,530.5954,Falla_SJ
1104257,1254751,476.22287,Falla_SJ
1103997,1254606,586.13239,Falla_SJ
1103738,1254556,495.09052,Falla_SJ
1103436,1254469,452.55902,Falla_SJ
1103275,1254406,511.29611,Falla_SJ
1102927,1254346,436.26727,Falla_SJ
1102428,1254156,440.74371,Falla_SJ
1102284,1254131,388.86667,Falla_SJ
1101783,1253827,416.13889,Falla_SJ
1101538,1253711,415.04852,Falla_SJ
1101040,1253426,336.99631,Falla_SJ
1101326,1253566,378.19983,Falla_SJ
1100577,1253177,335.90189,Falla_SJ
1100876,1253319,375.37766,Falla_SJ

1101341,1253576,378.19983,Falla_SJ
1102449,1254155,440.74371,Falla_SJ
1104280,1254761,491.72525,Falla_SJ
1104756,1254900,551.6853,Falla_SJ
1106946,1255910,630.21301,Falla_SJ
1107612,1256204,688.95392,Falla_SJ
1107901,1256649,719.02417,Falla_SJ
1109747,1257823,1050.91467,Falla_SJ


1100634.989,1251770.041,320.71622,F_NN1
1100835.306,1251733.316,319.64932,F_NN1
1101070.679,1251770.041,337.41879,F_NN1
1101666.623,1251765.033,376.73248,F_NN1
1102309.307,1251968.689,439.96252,F_NN1
1102451.199,1251975.367,447.28036,F_NN1
1102653.185,1252062.171,433.42838,F_NN1
1103032.119,1252118.927,534.92004,F_NN1
1103247.46,1252217.417,475.68759,F_NN1
1103676.473,1252462.805,523.27802,F_NN1
1104128.021,1252615.547,569.56769,F_NN1
1104346.701,1252735.738,569.16064,F_NN1
1104668.878,1252782.478,622.04309,F_NN1
1104899.243,1252849.251,663.79126,F_NN1
1105396.698,1252931.047,682.87061,F_NN1
1106343.197,1253336.689,1002.71844,F_NN1
1107264.656,1253804.096,1238.39929,F_NN1
1108499.946,1254091.218,1261.80273,F_NN1
1109122.599,1254154.652,1025.74219,F_NN1




1106236.168,1247242.182,1235.86353,F.Mojarra
1106451.796,1246964.005,1295.29272,F.Mojarra
1106762.893,1246555.794,1432.11072,F.Mojarra
1107120.077,1246266.096,1581.15894,F.Mojarra
1107524.997,1245862.822,1591.93359,F.Mojarra
1107999.049,1245364.08,1664.76343,F.Mojarra
1108338.127,1245008.541,1641.3938,F.Mojarra
1108627.826,1244480.171,1607.97852,F.Mojarra
1109034.391,1243778.969,1615.71851,F.Mojarra
1109101.878,1243668.687,1608.0686,F.Mojarra
1109220.391,1243383.926,1606.70923,F.Mojarra
1109487.045,1242913.166,1569.74524,F.Mojarra
1109617.08,1242740.335,1524.99634,F.Mojarra
1109733.947,1242509.893,1466.03296,F.Mojarra
1110158.618,1242106.62,1348.38196,F.Mojarra
1110421.98,1241668.78,1197.84766,F.Mojarra
1110667.236,1241099.26,1073.66748,F.Mojarra
1110807.147,1240822.73,1041.46069,F.Mojarra
1111042.527,1240533.031,1011.17194,F.Mojarra



1109338.903,1246231.529,1630.77869,F.Calaveras
1109546.301,1245971.459,1629.49402,F.Calaveras
1109669.752,1245792.044,1634.34998,F.Calaveras
1110028.583,1245413.461,1627.86804,F.Calaveras
1110234.335,1245192.895,1622.62122,F.Calaveras
1110626.086,1244751.763,1619.81494,F.Calaveras
1110770.935,1244549.304,1617.7594,F.Calaveras
1110917.43,1244412.685,1618.04211,F.Calaveras
1111406.296,1243797.076,1623.48914,F.Calaveras
1111802.985,1243319.732,1660.67224,F.Calaveras
1111995.569,1243044.848,1658.14539,F.Calaveras
1112268.807,1242416.07,1675.77417,F.Calaveras
1112431.763,1242172.46,1667.74109,F.Calaveras
1112528.877,1241937.081,1627.59851,F.Calaveras
1112586.488,1241704.993,1409.37988,F.Calaveras
1112848.204,1241300.073,1160.21436,F.Calaveras
